Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
0;18288;4.1473;0
1;18289;3.6711;4.14729976654053
2;18290;3.056;7.81839966773987
3;18291;3.3146;10.8743996620178
4;18292;3.4346;14.1889996528625
5;18293;3.2018;17.6235995292664
6;18294;3.2572;20.8253996372223
7;18295;3.0291;24.0825996398926
8;18296;3.5357;27.1116995811462
9;18297;3.3351;30.6473996639252
10;18298;3.892;33.9824995994568
11;18299;4.106;37.8744995594025
12;18300;2.97;41.9804995059967
13;18301;3.611;44.9504995346069
14;18302;3.2551;48.5614995956421
15;18303;3.9275;51.8165996074677
16;18304;3.2319;55.7440996170044
17;18305;3.083;58.9759995937347
18;18306;2.9859;62.0589995384216
19;18307;3.1017;65.0448994636536
20;18308;3.2164;68.1465995311737
21;18309;2.9029;71.3629994392395
22;18310;3.196;74.2658994197845
23;18311;2.8882;77.4618995189667
24;18312;4.0567;80.3500995635986
25;18313;3.5454;84.4067993164063
26;18314;4.3981;87.9521992206573
27;18315;3.4235;92.3502991199493
28;18316;3.8121;95.7737991809845
29;18317;3.2192;99.5858991146088
30;18318;4.1297;102.805099010468
31;18319;3.497;106.934799194336
32;18320;3.4744;110.431799173355
33;18321;2.9327;113.906199216843
34;18322;2.7606;116.83889913559
35;18323;2.8992;119.599499225616
36;18324;2.7388;122.498699188232
37;18325;3.0905;125.237499237061
38;18326;3.0582;128.32799911499
39;18327;3.144;131.386198997498
40;18328;2.9401;134.530199050903
41;18329;2.7431;137.470299005508
42;18330;3.3758;140.213398933411
43;18331;3.4729;143.589198827744
44;18332;3.5251;147.062098741531
45;18333;3.9391;150.587198734283
46;18334;3.747;154.526298761368
47;18335;4.0127;158.273298740387
48;18336;3.5352;162.285998821259
49;18337;4.2414;165.821198701859
50;18338;3.5547;170.062598466873
51;18339;4.3197;173.617298364639
52;18340;3.7518;177.936998128891
53;18341;4.3338;181.688798189163
54;18342;4.3457;186.022598028183
55;18343;3.5768;190.368297815323
56;18344;4.1406;193.945097923279
57;18345;3.9745;198.085698127747
58;18346;4.3027;202.060198068619
59;18347;3.8689;206.362898111343
60;18348;4.9115;210.231798171997
61;18349;4.0756;215.143298149109
62;18350;3.6493;219.218898296356
63;18351;3.7133;222.868198394775
64;18352;5.654;226.581498384476
65;18353;6.0082;232.235498189926
66;18354;10.0878;238.243698358536
67;18355;4.8726;248.331498384476
68;18356;3.7176;253.204098463058
69;18357;4.315;256.921698570251
70;18358;3.8423;261.236698627472
71;18359;4.136;265.078998565674
72;18360;4.0376;269.214998722076
73;18361;3.9302;273.252598762512
74;18362;4.4865;277.182798862457
75;18363;4.5644;281.669298648834
76;18364;5.2885;286.23369884491
77;18365;4.2528;291.522198677063
78;18366;3.6692;295.774998664856
79;18367;3.5518;299.444198608398
80;18368;3.7265;302.995998620987
81;18369;3.8668;306.722498655319
82;18370;4.0171;310.589298725128
83;18371;3.6425;314.606398582458
84;18372;4.317;318.248898506165
85;18373;3.9062;322.565898418427
86;18374;3.8025;326.472098350525
87;18375;3.6796;330.274598360062
88;18376;3.4429;333.954198360443
89;18377;3.5793;337.397098302841
90;18378;4.335;340.976398229599
91;18379;4.0277;345.311398267746
92;18380;3.9091;349.339098215103
93;18381;4.3168;353.248198270798
94;18382;3.6008;357.56499838829
95;18383;3.6011;361.165798425674
96;18384;3.4396;364.766898393631
97;18385;4.0754;368.206498384476
98;18386;3.7917;372.281898260117
99;18387;3.5477;376.073598146439
100;18388;4.8821;379.621298074722
101;18389;4.1487;384.503398180008
102;18390;3.981;388.652097940445
103;18391;3.9623;392.633097887039
104;18392;3.9629;396.595397949219
105;18393;3.9968;400.558297872543
106;18394;3.6575;404.555097818375
107;18395;4.2402;408.212597846985
108;18396;3.8459;412.452797889709
109;18397;4.0014;416.298697948456
110;18398;4.0744;420.300097942352
111;18399;4.1791;424.374497890472
112;18400;3.4831;428.553597927094
113;18401;3.5447;432.036697864532
