Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"EditorLoop";2.0292;1.2302;453.088;18366;18477;18587;1;1;1087.36321091652;3.624544;1.751;2.335;1200;4;4;4;300;18288;0.0514;420.3244;18495;18587;2.0474
"PlayerLoop";1.3102;0.9683;15.4496;18506;18482;18587;1;1;416.445306360722;1.388151;1.2044;1.4404;901;3;3;4;300;18288;0.0001;14.1583;18299;18587;1.177
"VolumeManager.EvaluateVolumeDefaultState";0.9647;0.9647;0.9647;18587;18587;18587;4;4;0.964699983596802;0.9647;0.9647;0.9647;1;1;1;1;1;18587;0.9647;0.9647;18587;18587;0
"RenderPlayModeViewCameras";0.8956;0.6987;15.0565;18513;18482;18587;2;2;294.432598829269;0.981442;0.8239;1.0317;301;1;1;2;300;18288;0.6987;14.1582;18482;18587;0.8436
"UnityEngine.CoreModule.dll!UnityEngine.Rendering::RenderPipelineManager.DoRenderLoop_Internal() [Invoke]";0.8516;0.669;14.9449;18463;18482;18587;3;3;281.719399869442;0.9390647;0.7849;0.9844;301;1;1;2;300;18288;0.669;14.0965;18482;18587;0.8
"Inl_UniversalRenderTotal";0.8268;0.6517;2.4674;18319;18482;18587;4;4;262.033099710941;0.8734437;0.7627;0.9594;301;1;1;2;300;18288;0.6517;1.6449;18482;18587;0.7807
"Inl_RenderCameraStack";0.8114;0.6406;2.4265;18370;18482;18587;5;5;256.96699899435;0.8565567;0.7456;0.9394;301;1;1;2;300;18288;0.6406;1.6206;18482;18587;0.765
"Unity.RenderPipelines.Core.Runtime.dll!UnityEngine.Rendering::VolumeComponent.OnEnable() [Invoke]";0.7527;0.7527;0.7527;18587;18587;18587;4;5;0.75270003080368;0.7527;0.7527;0.7527;38;38;38;38;1;18587;0.0113;0.0413;18587;18587;0
"Inl_UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";0.4902;0.3874;1.7327;18294;18482;18587;6;6;156.432799547911;0.5214427;0.4447;0.5647;301;1;1;2;300;18288;0.3874;1.2427;18482;18587;0.4374
"UpdateScene";0.3801;0.2482;0.9241;18363;18455;18342;2;2;121.84569978714;0.4061523;0.3325;0.4587;300;1;1;1;300;18288;0.2482;0.9241;18455;18342;0.333
"Profiler.FlushCounters";0.3348;0.2489;0.6875;18430;18483;18563;1;1;105.696399629116;0.3523213;0.2873;0.4065;300;1;1;1;300;18288;0.2489;0.6875;18483;18563;0.4785
"Profiler.FlushMemoryCounters";0.315;0.2336;0.6682;18412;18446;18563;2;2;99.6931998729706;0.3323107;0.2696;0.3818;300;1;1;1;300;18288;0.2336;0.6682;18446;18563;0.4555
"Inl_ScriptableRenderContext.Submit";0.2717;0.2031;0.6373;18456;18466;18299;6;6;82.619299814105;0.2753977;0.2357;0.3037;301;1;1;2;300;18288;0.2031;0.6373;18466;18299;0.2783
"UniversalRenderPipeline.RenderSingleCameraInternal: Main Camera";0.2178;0.159;0.5865;18389;18480;18299;7;7;66.1761997640133;0.2205873;0.1875;0.2463;301;1;1;2;300;18288;0.159;0.5865;18480;18299;0.2294
"ExecuteRenderGraph";0.202;0.146;0.4578;18389;18400;18299;8;8;61.1136998534203;0.2037123;0.1711;0.2291;301;1;1;2;300;18288;0.146;0.4578;18400;18299;0.2148
"FixedUpdate.PhysicsFixedUpdate";0.1604;0.0926;0.2372;18431;18420;18540;3;3;9.23129993677139;0.1591603;0.1301;0.1836;58;1;1;1;58;18290;0.0926;0.2372;18420;18540;0
